The [MASK] with [MASK] was sprayed with [MASK].
The [MASK] with the [MASK] was sprayed with the [MASK].
The [MASK] with some [MASK] was sprayed with some [MASK].
A [MASK] with [MASK] was sprayed with [MASK].
A [MASK] with the [MASK] was sprayed with the [MASK].
A [MASK] with some [MASK] was sprayed with some [MASK].
The [MASK] on a [MASK] was sprayed on a [MASK].
The [MASK] on the [MASK] was sprayed on the [MASK].
Some [MASK] on a [MASK] was sprayed on a [MASK].
Some [MASK] on the [MASK] was sprayed on the [MASK].
[MASK] on a [MASK] was sprayed on a [MASK].
[MASK] on the [MASK] was sprayed on the [MASK].
I sprayed the [MASK] with [MASK] with the [MASK].
I sprayed the [MASK] with [MASK] with a [MASK].
I sprayed the [MASK] with some [MASK] with the [MASK].
I sprayed the [MASK] with some [MASK] with a [MASK].
I sprayed the [MASK] with the [MASK] with the [MASK].
I sprayed the [MASK] with the [MASK] with a [MASK].
I sprayed a [MASK] with [MASK] with the [MASK].
I sprayed a [MASK] with [MASK] with a [MASK].
I sprayed a [MASK] with some [MASK] with the [MASK].
I sprayed a [MASK] with some [MASK] with a [MASK].
I sprayed a [MASK] with the [MASK] with the [MASK].
I sprayed a [MASK] with the [MASK] with a [MASK].
I sprayed the [MASK] with the cover with the [MASK].
I sprayed the [MASK] with the water with the [MASK].
I sprayed the [MASK] with the cover with a [MASK].
I sprayed the [MASK] with the water with a [MASK].
I sprayed a [MASK] with the cover with the [MASK].
I sprayed a [MASK] with the water with the [MASK].
I sprayed a [MASK] with the cover with a [MASK].
I sprayed a [MASK] with the water with a [MASK].
I sprayed the [MASK] on the table on the [MASK].
I sprayed the [MASK] onto the table on the [MASK].
I sprayed the [MASK] on the table on a [MASK].
I sprayed the [MASK] onto the table on a [MASK].
